Murale,Année,Artiste,Ville,Arrondissement,Quartier,Édifice,Adresse,Emplacement,HLM,Batisseurs Culturels,LAT,LON
"""Rush Of Fall (Série Les saisons montréalaises)""",2009,"David Guinn,Phillip Adams",Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"143, boul. de Maisonneuve Est, H2X 1J6",,checked,,45° 34' 21.8784'' N,73° 35' 10.662'' W
"""Des horizons passent sur ton visage""",2009,Roger Alexandre,Saint-Jean-sur-Richelieu,,Saint-Jean-sur-Richelieu,Place publique du Vieux-St-Jean,"45°18'24.8""N","45°18'24.8""N",,,"45°18'24.8""N","73°15'02.6""W"
"""Ensemble (Centenaire du Patro Le Prevost)""",2009,Rafael Sottolichio,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Centre communautaire Patro Le Prevost,"7355, av. Christophe-Colomb, H2R 2S5",angle Everett,,,45° 32' 38.148'' N,73° 36' 51.2928'' W
"""Winter Haze (Série Les saisons montréalaises)""",2009,"David Guinn,Phillip Adams",Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"255, boulevard de Maisonneuve Est, H2X 1J6",,checked,,45° 30' 46.2492'' N,73° 33' 49.0608'' W
"""Cuada Gotita Cuenta (En collaboration avec ONE DROP)""",2009,Julio Cesar Moreno (Nicaragua),Montréal,Outremont,Outremont,,"6121, rue Hutchison, H2V 4B7",angle Van Horne,,,45° 31' 29.8482'' N,73° 36' 36.8856'' W
"""Cent motifs, un paysage""",2010,Annie Hamel,Montréal,Villeray–Saint-Michel–Parc-Extension,Parc-Extension,Parc St-Roch,"440, Avenue BallMontréal, QC H3N 1H6",,,,45° 31' 54.354'' N,73° 37' 53.8644'' W
"""Accesibilidad para todos (En collaboration avec ONE DROP)""",2010,"Julio Cesar Moreno,Peru Dyer",Ottawa,Hintonburg,Hintonburg,,"1068, Wellington St., K1Y 2Y3",,,,"45°24'12.5""N","75°43'28.5""W"
"""Hot Summer Night (Série Les saisons montréalaises)""",2010,"David Guinn,Phillip Adams",Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"154, boul. de Maisonneuve Est, H2X 1J7",,checked,,45° 34' 21.8784'' N,73° 35' 10.662'' W
"""Machine Consciente""",2010,Rafael Sottolichio,Montréal,Le Plateau-Mont-Royal,Le Plateau,,"450, rue Cherrier, H2L 1G9",coin Berri,,,45° 31' 7.6224'' N,73° 34' 9.588'' W
"""Manifeste à Paul-Émile Borduas""",2010,Thomas Csano (avec la participation de Luc Saucier),Montréal,Ville-Marie,Quartier Latin,,"1647, rue St-Denis, H2X 3K4",coin Emery,,checked,45° 30' 54.4824'' N,73° 33' 47.8692'' W
